"","data_product","data_table","data_column","variable","data_type","questions"
"219","ISCNTemplate","site","landscape","landscape","value_factor","NA"
"220","ISCNTemplate","site","landform","landform","value_factor","NA"
"221","ISCNTemplate","site","2d_position","2d_position","value_factor","NA"
"222","ISCNTemplate","site","landform_note","landform","note","NA"
"223","ISCNTemplate","site","parent","parent","value_string","NA"
"224","ISCNTemplate","site","aspect_deg","aspect_degree","value_number","NA"
"225","ISCNTemplate","site","aspect_cl","aspect_class","value_factor","NA"
"226","ISCNTemplate","site","slope","slope","value_number","NA"
"227","ISCNTemplate","site","stand_age","max_stand_age","value_number","NA"
"228","ISCNTemplate","site","stand_maturity","stand_maturity","value_string","NA"
"229","ISCNTemplate","site","successional_status","successional_status","value_string","NA"
"230","ISCNTemplate","site","drainagecl","drainage_class","value_factor","NA"
"231","ISCNTemplate","site","depth_water","depth_water","value_number","NA"
"232","ISCNTemplate","site","thaw_depth_site","depth_site_thaw","value_number","NA"
"233","ISCNTemplate","site","bedrock_depth","depth_bedrock","value_number","NA"
"234","ISCNTemplate","site","climate_station","climate_station","value_string","NA"
"235","ISCNTemplate","site","ffdays","frost_free_days","value_number","NA"
"236","ISCNTemplate","site","flood_freq","flood_frequency","value_string","NA"
"237","ISCNTemplate","site","geo_form","geologic_formation","value_string","NA"
"238","ISCNTemplate","site","map","mean_annual_precipitation","value_number","NA"
"239","ISCNTemplate","site","mat","mean_annual_temperature","value_number","NA"
"240","ISCNTemplate","site","mast","mean_annual_soil_temperature","value_number","NA"
"241","ISCNTemplate","site","pond_freq","ponding_frequency","value_string","NA"
"242","ISCNTemplate","site","runoff","runoff","value_factor","NA"
"243","ISCNTemplate","site","site_perm","site_permeability","value_string","NA"
"244","ISCNTemplate","site","water_table_duration","water_table_duration","value_number","NA"
"245","ISCNTemplate","site","cflux_note","carbon_flux_note","note","NA"
"246","ISCNTemplate","site","climate_note","climate_note","note","NA"
"247","ISCNTemplate","site","eco_note","ecoregion_note","note","NA"
"248","ISCNTemplate","site","photo_note","photo_note","noe","NA"
"249","ISCNTemplate","site","soiltemp_note","soil_temperature_note","note","NA"
"250","ISCNTemplate","site","add_note","additional_notes","note","NA"
"251","ISCNTemplate","site","soc","soil_organic_carbon","value_number","NA"
"252","ISCNTemplate","site","soc_type","soil_type","value_factor","NA"
"253","ISCNTemplate","site","soc_pcount","soil_organic_carbon_count","value_string","NA"
"254","ISCNTemplate","site","soc_depth","soil_organic_carbon_depth","value_number","NA"
"255","ISCNTemplate","site","soc_sigma","soil_organic_carbon","sigma","NA"
"256","ISCNTemplate","site","soc_method","soil_organic_carbon","method","NA"
"257","ISCNTemplate","cluster","cluster_name","cluster_name","id","NA"
"258","ISCNTemplate","cluster","cluster_note","cluster_note","note","NA"
"259","ISCNTemplate","profile","site_name","site_name","id","NA"
"260","ISCNTemplate","profile","cluster_name","cluster_name","id","NA"
"261","ISCNTemplate","profile","profile_name","profile_name","id","NA"
"262","ISCNTemplate","profile","profile_note","profile_note","note","NA"
"263","ISCNTemplate","profile","layer_method","layer_method","method","NA"
"264","ISCNTemplate","profile","profile_method","profile_method","method","NA"
"265","ISCNTemplate","profile","observation_date","observation_date","value_date","NA"
"266","ISCNTemplate","profile","observation_date_acc","observation_date","accuracy","NA"
"267","ISCNTemplate","profile","transect_flag","transect_flag","value_factor","NA"
"268","ISCNTemplate","profile","surface_veg","surface_vegetation","value_string","NA"
"269","ISCNTemplate","profile","soil_taxon","soil_taxon","value_string","NA"
"270","ISCNTemplate","profile","soil_series","soil_series","value_string","NA"
"271","ISCNTemplate","profile","add_taxon_flag","add_taxon_flag","value_factor","NA"
"272","ISCNTemplate","profile","thaw_depth_profile","thaw_depth_profile","value_number","NA"
"273","ISCNTemplate","profile","sampler_names","sampler_names","value_string","NA"
"274","ISCNTemplate","profile","soc","soil_organic_carbon","value_number","NA"
"275","ISCNTemplate","profile","soc_type","soil_type","value_factor","NA"
"276","ISCNTemplate","profile","soc_depth","soil_organic_carbon_depth","value_number","NA"
"277","ISCNTemplate","profile","soc_method","soil_organic_carbon","method","NA"
"278","ISCNTemplate","profile","soc_sigma","soil_organic_carbon","sigma","NA"
"279","ISCNTemplate","profile","soc_lcount","soil_organic_carbon_count","value_number","NA"
"280","ISCNTemplate","layer","site_name","site_name","id","NA"
"281","ISCNTemplate","layer","cluster_name","cluster_name","id","NA"
"282","ISCNTemplate","layer","profile_name","profile_name","id","NA"
"283","ISCNTemplate","layer","layer_name","layer_name","id","NA"
"284","ISCNTemplate","layer","layer_number","layer_number","value_string","NA"
"285","ISCNTemplate","layer","labeled_addition","labeled_addition","value_string","NA"
"286","ISCNTemplate","layer","layer_top","depth_top","value_number","NA"
"287","ISCNTemplate","layer","layer_bot","depth_bottom","value_number","NA"
"288","ISCNTemplate","layer","hzn_desgn","horizon_designation","value_string","NA"
"289","ISCNTemplate","layer","hzn_desgn_other","horizon_designation_other","value_string","NA"
"290","ISCNTemplate","layer","hzn_desgn_other_note","horizon_designation_other","note","NA"
"291","ISCNTemplate","layer","layer_note","layer_note","value_string","NA"
"292","ISCNTemplate","layer","c_method","soil_organic_carbon","method","NA"
"293","ISCNTemplate","layer","c_method","total_carbon","method","NA"
"294","ISCNTemplate","layer","color","color","value_string","NA"
"295","ISCNTemplate","layer","burn_ev","burn_evidence","value_string","NA"
"296","ISCNTemplate","layer","bd_method","bulk_density","method","NA"
"297","ISCNTemplate","layer","bd_samp","bulk_density","value_number","NA"
